# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
chaos-mesh           39h         Normal    SandboxChanged            pod/chaos-controller-manager-59b7dc547f-4w9md               Pod sandbox changed, it will be killed and re-created.
chaos-mesh           39h         Normal    Pulled                    pod/chaos-controller-manager-59b7dc547f-4w9md               Container image "ghcr.io/chaos-mesh/chaos-mesh:v2.8.4" already present on machine
chaos-mesh           39h         Normal    Created                   pod/chaos-controller-manager-59b7dc547f-4w9md               Created container chaos-mesh
chaos-mesh           39h         Normal    Started                   pod/chaos-controller-manager-59b7dc547f-4w9md               Started container chaos-mesh
chaos-mesh           40m         Normal    SandboxChanged            pod/chaos-controller-manager-59b7dc547f-4w9md               Pod sandbox changed, it will be killed and re-created.
chaos-mesh           40m         Normal    Pulled                    pod/chaos-controller-manager-59b7dc547f-4w9md               Container image "ghcr.io/chaos-mesh/chaos-mesh:v2.8.4" already present on machine
chaos-mesh           40m         Normal    Created                   pod/chaos-controller-manager-59b7dc547f-4w9md               Created container chaos-mesh
chaos-mesh           40m         Normal    Started                   pod/chaos-controller-manager-59b7dc547f-4w9md               Started container chaos-mesh
chaos-mesh           39h         Normal    SandboxChanged            pod/chaos-controller-manager-59b7dc547f-fkvjj               Pod sandbox changed, it will be killed and re-created.
chaos-mesh           39h         Normal    Pulled                    pod/chaos-controller-manager-59b7dc547f-fkvjj               Container image "ghcr.io/chaos-mesh/chaos-mesh:v2.8.4" already present on machine
chaos-mesh           39h         Normal    Created                   pod/chaos-controller-manager-59b7dc547f-fkvjj               Created container chaos-mesh
chaos-mesh           39h         Normal    Started                   pod/chaos-controller-manager-59b7dc547f-fkvjj               Started container chaos-mesh
chaos-mesh           40m         Normal    SandboxChanged            pod/chaos-controller-manager-59b7dc547f-fkvjj               Pod sandbox changed, it will be killed and re-created.
chaos-mesh           40m         Normal    Pulled                    pod/chaos-controller-manager-59b7dc547f-fkvjj               Container image "ghcr.io/chaos-mesh/chaos-mesh:v2.8.4" already present on machine
